Customer,Project Billing,Product,Datacenter,Project Product,SUM of Latest ARC EUR
[anonymised],Customer 1,QuantFEED,Client facility,"QuantFEED Market Data - Aquis MTF EU (1306:AQV) - Ref, L1, L2 MBL Depth10 - Real-Time","11,669"
,,,,"QuantFEED Market Data - Aquis MTF UK (1227:AQU) - Ref, L1, L2 MBL Depth10 - Real-Time","33,207"
,,,,QuantFEED Market Data - ASX 24 Derivatives (1005:AUD) - Ref,"2,412"
,,,,QuantFEED Market Data - BM&F Derivatives (1165:BRD) - Ref,"2,223"
,,,,QuantFEED Market Data - BME IBEX and FTSE LATIBEX Indices (1203:IBX) - Ref,0
,,,,QuantFEED Market Data - BME MEFF Derivatives (1013:MEF) - Ref,"2,412"
,,,,QuantFEED Market Data - BME SIB Equities (1012:BME) - Ref,"2,412"
,,,,"QuantFEED Market Data - Boerse Frankfurt Certificates and Warrants (ex SCOACH) (1118:XEA) - Ref, L1 - Real-Time","26,565"
,,,,"QuantFEED Market Data - BX Swiss (1420:BXS) - Ref, L1 - Real-Time","13,230"
,,,,"QuantFEED Market Data - Cboe Europe BXE and CXE (1007:BAE) - Ref, L1, L2 MBL Depth10 - Real-Time","34,535"
,,,,"QuantFEED Market Data - Cboe Europe DXE (1305:CBV) - Ref, L1, L2 MBL Depth10 - Real-Time","11,669"
,,,,QuantFEED Market Data - Cboe Futures Exchange (1123:CBE) - Ref,"2,412"
,,,,QuantFEED Market Data - Chicago Board of Trade CBOT (1022:CBO) - Ref,"2,412"
,,,,QuantFEED Market Data - Chicago Mercantile Exchange CME (1027:CME) - Ref,"2,412"
,,,,QuantFEED Market Data - CTA Network A NBBO (1029:CTA) - Ref,"2,412"
,,,,QuantFEED Market Data - CTA Network B NBBO (1030:CTB) - Ref,"2,412"
,,,,"QuantFEED Market Data - DAX Indices (1105:DEI) - Ref, L1, L2 MBL Depth5 - Real-Time",0
,,,,QuantFEED Market Data - Eurex Ultra Futures (1032:EUF) - Ref,0
,,,,"QuantFEED Market Data - Eurex Ultra Futures (1032:EUF) - Ref, L1, L2 MBL Depth10 - Real-Time","33,207"
,,,,QuantFEED Market Data - Eurex Ultra Options (1033:EUO) - Ref,"2,412"
,,,,"QuantFEED Market Data - Euronext All Indices (1035:EUI) - Ref, L1 - Real-Time",0
,,,,"QuantFEED Market Data - Euronext Cash Market (1034:EUR) - Ref, L1, L2 MBL Depth10 - Real-Time","34,535"
,,,,QuantFEED Market Data - Euronext Commodities Derivatives (1073:LIC) - Ref,"2,188"
,,,,QuantFEED Market Data - Euronext Dublin Equities (1301:EUV) - Ref,"2,412"
,,,,QuantFEED Market Data - Euronext Equity and Index Derivatives (1072:LII) - Ref,0
,,,,"QuantFEED Market Data - Euronext Equity and Index Derivatives (1072:LII) - Ref, L1, L2 MBL Depth10 - Real-Time","19,924"
,,,,"QuantFEED Market Data - Euronext Milan AFF (1437:EUX) - Ref, L1, L2 MBL Depth10 - Real-Time","16,670"
,,,,"QuantFEED Market Data - Euronext Milan GEM (1439:EUZ) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,QuantFEED Market Data - Euronext Milan MOT Bonds (1016:MOT) - Ref,"1,206"
,,,,"QuantFEED Market Data - Euronext Milan TAH (1438:EUY) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,QuantFEED Market Data - HKEx Derivatives (1039:HKD) - Ref,0
,,,,QuantFEED Market Data - HKEx Securities (1038:HKE) - Ref,"2,334"
,,,,QuantFEED Market Data - ICE Futures EU Commodities (1041:ICE) - Ref,"2,412"
,,,,QuantFEED Market Data - ICE Futures EU Financials (1175:ICL) - Ref,"2,412"
,,,,QuantFEED Market Data - ICE Futures US - US Softs & Financials (1042:ICU) - Ref,0
,,,,QuantFEED Market Data - JPX Osaka Futures J-NET (1440:JPA) - Ref,0
,,,,QuantFEED Market Data - JPX Osaka JGB Futures J-NET (1442:JPC) - Ref,0
,,,,QuantFEED Market Data - JPX Osaka Options J-NET (1441:JPB) - Ref,0
,,,,QuantFEED Market Data - JPX Osaka Stock Exchange Futures (1028:CMX) - Ref,"2,412"
,,,,QuantFEED Market Data - JPX Osaka Stock Exchange JGB Futures & Options (1048:KBT) - Ref,0
